x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.508972,-0.694641,-0.553467,1.023672,1004530.885604,2001-01-12 07:02:10.886 -0800
0.499222,-0.730484,-0.491577,1.012165,1004530.858011,2001-01-12 07:02:10.858 -0800
0.580154,-0.645233,-0.444260,0.974819,1004530.830413,2001-01-12 07:02:10.830 -0800
0.550293,-0.701645,-0.435486,0.992359,1004530.802819,2001-01-12 07:02:10.803 -0800
0.448883,-0.759399,-0.340561,0.945603,1004530.775219,2001-01-12 07:02:10.775 -0800
0.441025,-0.729477,-0.236389,0.884601,1004530.747490,2001-01-12 07:02:10.747 -0800
0.517365,-0.515976,-0.326111,0.800153,1004530.719888,2001-01-12 07:02:10.720 -0800
0.557007,-0.408463,-0.318466,0.760604,1004530.692296,2001-01-12 07:02:10.692 -0800
0.517319,-0.417603,-0.364410,0.758159,1004530.664700,2001-01-12 07:02:10.665 -0800
0.474350,-0.535904,-0.181549,0.738350,1004530.637103,2001-01-12 07:02:10.637 -0800
0.471649,-0.817139,-0.094193,0.948178,1004530.609372,2001-01-12 07:02:10.609 -0800
0.371048,-0.972183,0.054153,1.041993,1004530.581774,2001-01-12 07:02:10.582 -0800
0.316437,-1.106476,0.110992,1.156175,1004530.554178,2001-01-12 07:02:10.554 -0800
0.331375,-1.105392,0.071228,1.156190,1004530.526585,2001-01-12 07:02:10.527 -0800
0.335892,-1.195908,0.009735,1.242221,1004530.498989,2001-01-12 07:02:10.499 -0800
0.355591,-1.133667,-0.012695,1.188195,1004530.471258,2001-01-12 07:02:10.471 -0800
0.318863,-1.034790,-0.007156,1.082827,1004530.443663,2001-01-12 07:02:10.444 -0800
0.248611,-0.828873,0.044662,0.866506,1004530.416067,2001-01-12 07:02:10.416 -0800
0.118820,-0.897095,0.091919,0.909586,1004530.388471,2001-01-12 07:02:10.388 -0800
0.182587,-0.988327,0.038452,1.005787,1004530.360874,2001-01-12 07:02:10.361 -0800
0.150818,-0.976379,0.039658,0.988755,1004530.333147,2001-01-12 07:02:10.333 -0800
0.050095,-1.111206,0.078674,1.115113,1004530.305555,2001-01-12 07:02:10.306 -0800
0.071884,-1.044098,0.093750,1.050760,1004530.277964,2001-01-12 07:02:10.278 -0800
0.133392,-1.137253,0.068283,1.147083,1004530.250373,2001-01-12 07:02:10.250 -0800
0.064270,-1.096512,0.143326,1.107705,1004530.222776,2001-01-12 07:02:10.223 -0800
0.118332,-1.083633,0.102005,1.094837,1004530.195044,2001-01-12 07:02:10.195 -0800
0.107346,-1.110199,0.142303,1.124418,1004530.167447,2001-01-12 07:02:10.167 -0800
0.032928,-1.152176,0.219986,1.173451,1004530.139849,2001-01-12 07:02:10.140 -0800
0.088486,-1.146271,0.020432,1.149863,1004530.112253,2001-01-12 07:02:10.112 -0800
-0.008270,-1.095398,0.073807,1.097913,1004530.084657,2001-01-12 07:02:10.085 -0800
-0.056976,-0.986755,0.104568,0.993915,1004530.056926,2001-01-12 07:02:10.057 -0800
-0.009277,-0.946564,0.038971,0.947411,1004530.029327,2001-01-12 07:02:10.029 -0800
-0.039948,-1.095276,0.009735,1.096047,1004530.001729,2001-01-12 07:02:10.002 -0800
-0.133804,-1.010971,0.048431,1.020937,1004529.974134,2001-01-12 07:02:09.974 -0800
-0.104492,-0.977921,-0.011963,0.983560,1004529.946534,2001-01-12 07:02:09.947 -0800
-0.065125,-1.044342,0.047607,1.047453,1004529.918800,2001-01-12 07:02:09.919 -0800
-0.292068,-1.080109,-0.024597,1.119171,1004529.891203,2001-01-12 07:02:09.891 -0800
-0.021744,-1.224335,-0.294586,1.259464,1004529.863602,2001-01-12 07:02:09.864 -0800
0.198532,-1.089081,-0.351974,1.161636,1004529.836001,2001-01-12 07:02:09.836 -0800
0.019135,-0.823578,-0.012604,0.823897,1004529.808407,2001-01-12 07:02:09.808 -0800
-0.010605,-0.770859,0.165680,0.788534,1004529.780691,2001-01-12 07:02:09.781 -0800
-0.069717,-0.753342,0.295486,0.812217,1004529.753095,2001-01-12 07:02:09.753 -0800
-0.157959,-0.869125,0.250748,0.918262,1004529.725497,2001-01-12 07:02:09.725 -0800
-0.154724,-0.992447,0.184631,1.021263,1004529.697897,2001-01-12 07:02:09.698 -0800
-0.098648,-0.890427,-0.132629,0.905639,1004529.670300,2001-01-12 07:02:09.670 -0800
-0.107559,-0.999039,-0.097504,1.009532,1004529.642570,2001-01-12 07:02:09.643 -0800
-0.189331,-1.078537,-0.079193,1.097889,1004529.614974,2001-01-12 07:02:09.615 -0800
-0.108994,-1.041504,-0.227692,1.071659,1004529.587378,2001-01-12 07:02:09.587 -0800
0.056473,-0.922165,-0.173477,0.940038,1004529.559786,2001-01-12 07:02:09.560 -0800
0.042297,-0.635117,-0.160995,0.656568,1004529.532191,2001-01-12 07:02:09.532 -0800
0.016846,-0.694672,-0.039246,0.695983,1004529.504464,2001-01-12 07:02:09.504 -0800
0.088684,-0.902725,-0.245270,0.939646,1004529.476866,2001-01-12 07:02:09.477 -0800
0.178497,-0.938782,-0.299545,1.001449,1004529.449276,2001-01-12 07:02:09.449 -0800
-0.033325,-1.043167,-0.586899,1.197397,1004529.421681,2001-01-12 07:02:09.422 -0800
-0.344589,-1.080368,-0.388245,1.198612,1004529.394083,2001-01-12 07:02:09.394 -0800
-0.231232,-1.346451,-0.215057,1.382985,1004529.366351,2001-01-12 07:02:09.366 -0800
-0.362900,-1.066772,0.243317,1.152780,1004529.338754,2001-01-12 07:02:09.339 -0800
-0.284790,-0.830566,0.678925,1.109903,1004529.311159,2001-01-12 07:02:09.311 -0800
-0.273087,-0.898468,-0.179214,0.956002,1004529.283562,2001-01-12 07:02:09.284 -0800
-0.127167,-0.971252,-0.111191,0.985833,1004529.255940,2001-01-12 07:02:09.256 -0800
-0.011826,-1.045776,-0.075623,1.048574,1004529.228236,2001-01-12 07:02:09.228 -0800
-0.010254,-1.059875,-0.104797,1.065093,1004529.200639,2001-01-12 07:02:09.201 -0800
-0.042633,-0.994370,-0.020813,0.995501,1004529.173043,2001-01-12 07:02:09.173 -0800
-0.070511,-0.970657,0.122726,0.980923,1004529.145448,2001-01-12 07:02:09.145 -0800
-0.182922,-0.909042,0.205521,0.949767,1004529.117854,2001-01-12 07:02:09.118 -0800
-0.378036,-0.802460,0.355392,0.955592,1004529.090124,2001-01-12 07:02:09.090 -0800
-0.535217,-0.948761,0.421967,1.168187,1004529.062526,2001-01-12 07:02:09.063 -0800
-0.667328,-1.097122,0.364441,1.334849,1004529.034932,2001-01-12 07:02:09.035 -0800
-0.504898,-1.009445,0.029602,1.129061,1004529.007335,2001-01-12 07:02:09.007 -0800
-0.344635,-0.903198,0.037552,0.967445,1004528.979736,2001-01-12 07:02:08.980 -0800
-0.267166,-1.022079,0.038330,1.057116,1004528.952001,2001-01-12 07:02:08.952 -0800
-0.231323,-0.964020,0.086716,0.995170,1004528.924406,2001-01-12 07:02:08.924 -0800
-0.336090,-0.855347,0.279510,0.960573,1004528.896807,2001-01-12 07:02:08.897 -0800
-0.346344,-0.852859,0.294601,0.966495,1004528.869215,2001-01-12 07:02:08.869 -0800
-0.311554,-0.726715,0.244385,0.827590,1004528.841622,2001-01-12 07:02:08.842 -0800
-0.253494,-0.524063,0.144531,0.599826,1004528.813891,2001-01-12 07:02:08.814 -0800
-0.245560,-0.396179,0.158508,0.492323,1004528.786295,2001-01-12 07:02:08.786 -0800
-0.281479,-0.454529,0.187546,0.566569,1004528.758694,2001-01-12 07:02:08.759 -0800
-0.392761,-0.543671,0.293396,0.732066,1004528.731109,2001-01-12 07:02:08.731 -0800
-0.412491,-0.661591,0.333359,0.847926,1004528.703516,2001-01-12 07:02:08.704 -0800
-0.453445,-0.917694,0.372025,1.089118,1004528.675789,2001-01-12 07:02:08.676 -0800
-0.581757,-1.150406,0.178955,1.301499,1004528.648197,2001-01-12 07:02:08.648 -0800
-0.682739,-1.334106,-0.054932,1.499663,1004528.620602,2001-01-12 07:02:08.621 -0800
-0.886047,-1.361069,0.145065,1.630531,1004528.593008,2001-01-12 07:02:08.593 -0800
-1.183273,-1.217300,1.100845,2.023318,1004528.565410,2001-01-12 07:02:08.565 -0800
-0.912704,-1.342972,0.080811,1.625772,1004528.537674,2001-01-12 07:02:08.538 -0800
-0.675888,-2.184616,-0.001328,2.286782,1004528.510085,2001-01-12 07:02:08.510 -0800
-0.476929,-2.884247,0.408707,2.951844,1004528.482492,2001-01-12 07:02:08.482 -0800
-0.350433,-2.087265,0.506622,2.176269,1004528.454896,2001-01-12 07:02:08.455 -0800
-0.382599,-1.082016,0.281036,1.181576,1004528.427307,2001-01-12 07:02:08.427 -0800
-0.172745,-0.389420,0.114731,0.441193,1004528.399578,2001-01-12 07:02:08.400 -0800
-0.073624,-0.157486,0.044937,0.179560,1004528.371987,2001-01-12 07:02:08.372 -0800
-0.101944,-0.159012,0.013336,0.189355,1004528.344394,2001-01-12 07:02:08.344 -0800
-0.116913,-0.175262,0.040894,0.214611,1004528.316778,2001-01-12 07:02:08.317 -0800
-0.084732,-0.235626,0.041275,0.253777,1004528.289205,2001-01-12 07:02:08.289 -0800
-0.068756,-0.367844,0.098526,0.386967,1004528.261475,2001-01-12 07:02:08.261 -0800
-0.063080,-0.537567,0.141739,0.559506,1004528.233879,2001-01-12 07:02:08.234 -0800
-0.080154,-0.731049,0.271729,0.784024,1004528.206283,2001-01-12 07:02:08.206 -0800
-0.125198,-0.807663,0.302994,0.871665,1004528.178689,2001-01-12 07:02:08.179 -0800
-0.146240,-0.868103,0.076614,0.883662,1004528.151095,2001-01-12 07:02:08.151 -0800
-0.195816,-0.940903,0.050232,0.962375,1004528.123366,2001-01-12 07:02:08.123 -0800
-0.249664,-1.042862,0.148010,1.082497,1004528.095770,2001-01-12 07:02:08.096 -0800
-0.232330,-1.007217,0.080994,1.036834,1004528.068178,2001-01-12 07:02:08.068 -0800
-0.212372,-0.953232,0.054825,0.978140,1004528.040586,2001-01-12 07:02:08.041 -0800
-0.189636,-0.860397,0.050247,0.882480,1004528.012997,2001-01-12 07:02:08.013 -0800
-0.186081,-0.800034,0.117233,0.829713,1004527.985267,2001-01-12 07:02:07.985 -0800
-0.174774,-0.709198,0.134384,0.742676,1004527.957666,2001-01-12 07:02:07.958 -0800
-0.181931,-0.663742,0.102951,0.695882,1004527.930074,2001-01-12 07:02:07.930 -0800
-0.215561,-0.649170,0.061646,0.686796,1004527.902479,2001-01-12 07:02:07.902 -0800
-0.259964,-0.610260,0.012787,0.663447,1004527.874884,2001-01-12 07:02:07.875 -0800
-0.299637,-0.542999,-0.100128,0.628217,1004527.847154,2001-01-12 07:02:07.847 -0800
-0.381088,-0.689117,-0.110626,0.795204,1004527.819560,2001-01-12 07:02:07.820 -0800
-0.384521,-0.836197,-0.034576,0.921020,1004527.791963,2001-01-12 07:02:07.792 -0800
-0.419754,-0.973694,0.139343,1.069434,1004527.764367,2001-01-12 07:02:07.764 -0800
-0.527542,-1.251419,0.318832,1.394993,1004527.736746,2001-01-12 07:02:07.737 -0800
-0.551132,-1.483719,0.519196,1.665753,1004527.709041,2001-01-12 07:02:07.709 -0800
-0.304138,-0.870483,0.819504,1.233624,1004527.681445,2001-01-12 07:02:07.681 -0800
-0.334930,-0.964142,0.459320,1.119251,1004527.653850,2001-01-12 07:02:07.654 -0800
-1.187881,-3.580032,-0.543747,3.810952,1004527.626255,2001-01-12 07:02:07.626 -0800
-1.785690,-5.240524,-0.699173,5.580379,1004527.598661,2001-01-12 07:02:07.599 -0800
-0.288513,-1.187454,0.177048,1.234760,1004527.570935,2001-01-12 07:02:07.571 -0800
-0.004944,-0.006683,0.044281,0.045055,1004527.543342,2001-01-12 07:02:07.543 -0800
-0.005981,0.068176,0.034790,0.076773,1004527.515752,2001-01-12 07:02:07.516 -0800
-0.005951,0.050064,0.020645,0.054480,1004527.488160,2001-01-12 07:02:07.488 -0800
-0.003723,0.031021,0.005219,0.031677,1004527.460566,2001-01-12 07:02:07.461 -0800
0.003403,0.025986,0.017685,0.031616,1004527.432836,2001-01-12 07:02:07.433 -0800
0.000809,0.019180,0.027832,0.033811,1004527.405240,2001-01-12 07:02:07.405 -0800
-0.007004,-0.014145,0.022095,0.027153,1004527.377626,2001-01-12 07:02:07.378 -0800
-0.046417,-0.108871,0.024445,0.120852,1004527.350054,2001-01-12 07:02:07.350 -0800
-0.130020,-0.292816,0.034546,0.322242,1004527.322463,2001-01-12 07:02:07.322 -0800
-0.217834,-0.534790,0.072922,0.582039,1004527.294735,2001-01-12 07:02:07.295 -0800
-0.280670,-0.819412,0.135284,0.876649,1004527.267141,2001-01-12 07:02:07.267 -0800
-0.352615,-1.017380,0.274139,1.111104,1004527.239550,2001-01-12 07:02:07.240 -0800
-0.619171,-1.201141,0.396347,1.408263,1004527.211958,2001-01-12 07:02:07.212 -0800
-0.863281,-1.395020,0.831116,1.839045,1004527.184369,2001-01-12 07:02:07.184 -0800
-0.747711,-1.710083,0.672012,1.983698,1004527.156642,2001-01-12 07:02:07.157 -0800
-0.607635,-2.307159,0.365509,2.413670,1004527.129049,2001-01-12 07:02:07.129 -0800
-0.632339,-2.331329,0.368454,2.443503,1004527.101455,2001-01-12 07:02:07.101 -0800
-0.443161,-1.941956,0.391037,2.029900,1004527.073862,2001-01-12 07:02:07.074 -0800
-0.318115,-1.281677,0.357315,1.368053,1004527.046268,2001-01-12 07:02:07.046 -0800
-0.110748,-0.451874,0.156799,0.490959,1004527.018537,2001-01-12 07:02:07.019 -0800
-0.043518,-0.197739,0.057236,0.210405,1004526.990951,2001-01-12 07:02:06.991 -0800
-0.018509,-0.176224,0.033493,0.180331,1004526.963357,2001-01-12 07:02:06.963 -0800
-0.023163,-0.209198,0.027039,0.212206,1004526.935764,2001-01-12 07:02:06.936 -0800
-0.032364,-0.263336,0.037094,0.267898,1004526.908173,2001-01-12 07:02:06.908 -0800
-0.043930,-0.304810,0.058670,0.313498,1004526.880446,2001-01-12 07:02:06.880 -0800
-0.043503,-0.322525,0.068726,0.332623,1004526.852853,2001-01-12 07:02:06.853 -0800
-0.049164,-0.371140,0.083542,0.383589,1004526.825261,2001-01-12 07:02:06.825 -0800
-0.062393,-0.467651,0.115295,0.485679,1004526.797666,2001-01-12 07:02:06.798 -0800
-0.080490,-0.590546,0.122787,0.608522,1004526.770073,2001-01-12 07:02:06.770 -0800
-0.114487,-0.751617,0.110748,0.768311,1004526.742345,2001-01-12 07:02:06.742 -0800
-0.095428,-0.846359,0.197830,0.874395,1004526.714752,2001-01-12 07:02:06.715 -0800
-0.083603,-0.984039,0.257385,1.020573,1004526.687157,2001-01-12 07:02:06.687 -0800
-0.147308,-1.223816,0.058441,1.234034,1004526.659561,2001-01-12 07:02:06.660 -0800
-0.184387,-1.363983,0.081039,1.378773,1004526.631966,2001-01-12 07:02:06.632 -0800
-0.293304,-1.632370,0.185226,1.668822,1004526.604240,2001-01-12 07:02:06.604 -0800
-0.321716,-1.796860,0.379990,1.864564,1004526.576646,2001-01-12 07:02:06.577 -0800
-0.198318,-1.931747,0.941818,2.158240,1004526.549050,2001-01-12 07:02:06.549 -0800
-0.642059,-2.276489,0.513153,2.420324,1004526.521454,2001-01-12 07:02:06.521 -0800
-0.720291,-2.261444,0.127411,2.376801,1004526.493859,2001-01-12 07:02:06.494 -0800
-0.560974,-1.825226,0.286621,1.930879,1004526.466129,2001-01-12 07:02:06.466 -0800
-0.277527,-1.017334,0.257309,1.085448,1004526.438508,2001-01-12 07:02:06.439 -0800
-0.118057,-0.474487,0.040329,0.490614,1004526.410942,2001-01-12 07:02:06.411 -0800
-0.068573,-0.264999,0.072281,0.283110,1004526.383351,2001-01-12 07:02:06.383 -0800
